category,ID,introduction_text_OLD,introduction_text_eng,introduction_text_ita,introduction_text_esp,55,label_eng,label_ita,label_esp,you_found_eng,you_found_ita,you_found_esp,25,description_eng,description_ita,description_esp,180,layer_name,Spunti,Illustration,hong_kong,marrakech,santiago,mexico_city,punta_del_este,rome,paris,berlin,zurich,ny,montreal
SOURCE,01_n,to discover the bright future of energy,Enel’s solar power expert,l'esperto Enel che sa tutto di energia solare,experto de Enel en energía solar,25,Solar energy,Energia solare,Energía solar,Innovative solar panels,Pannelli solari innovativi,Paneles solares innovadores,23,"Unpredictable weather has always been solar power’s enemy. But today, new storage systems integrate solar plants into the grid and quickly compensate sudden changes in production.",Le nuvole imprevedibili sono nemiche del solare. Ma oggi i pannelli solari si integrano nella rete con nuovi sistemi di storage che compensano subito la variabilità della produzione.,"El clima impredecible ha sido siempre el enemigo de la energía solar. Pero hoy en día, los nuevos sistemas de almacenamiento integran las plantas solares a la red y compensan rápidamente los cambios bruscos en la producción.",179,tgt_01,https://www.enelgreenpower.com/en/people-and-innovation/a201612-the-technology-for-storing-sun-and-wind.html,Enel guy,x,x,x,x,x,x,x,x,x,x,x
SOURCE,02_n,to capture the energy of the air around you,the orange wind turbine,la pala eolica arancione,la turbina eólica de color naranja,23,Wind energy,Energia eolica,Energía eólica,Wind farms’ positive spin,Il circolo virtuoso dell'eolico,Rotación positiva de la granja eólica,25,Wind farms are a great green generation option in many countries and create opportunities to invest in a community and create jobs.,"In molti Paesi gli impianti eolici producono energia in abbondanza, attirano investimenti e creano posti di lavoro.",Las plantas eólicas son una importante opción de generación verde en muchos países y crean oportunidades de inversión en una comunidad y crean puestos de trabajo.,131,tgt_02,"The wind projects will provide low cost, renewable energy and a boost in economic development to its local communities.

http://www.windpowerengineering.com/clean-energy-standard/enel-betting-developing-economies-will-go-big-wind-solar-hydro-power/

In 2016, Enel built a record-breaking 2,018 MW of new capacity, completing new plants in Brazil, Chile, Mexico, South Africa and the United States. https://www.enelgreenpower.com/en/media/press/d201702-enel-green-power-closes-2016-with-record-renewable-energy-capacity-of-2018-mw-built.html

Enel Green Power North America Reaches 1 GW Wind Capacity In Oklahoma Alone
https://cleantechnica.com/2016/09/23/enel-green-power-north-america-reaches-1-gw-wind-capacity-oklahoma-alone/",Wind turbine,x,x,,,x,x,x,x,,,x
SOURCE,02_a,to capture the energy of the air around you,the orange wind turbine,la pala eolica arancione,la turbina eólica de color naranja,23,Wind energy,Energia eolica,Energía eólica,Wind farms’ positive spin,Il circolo virtuoso dell'eolico,Rotación positiva de la granja eólica,25,"Wind farms are not only a great green generation option in countries like Chile, Mexico and the United States – they are an opportunity to invest in a community and create jobs.","In Paesi come Cile, Messico e Stati Uniti, gli impianti eolici producono energia in abbondanza, attirano investimenti e creano posti di lavoro.","Las plantas eólicas no solamente son una importante opción de generación verde en Chile, México y los Estados Unidos - son una oportunidad de inversiónn en una comunidad y para la creación de puestos de trabajo",177,"tgt_02 >
tgt_15","The wind projects will provide low cost, renewable energy and a boost in economic development to its local communities.

http://www.windpowerengineering.com/clean-energy-standard/enel-betting-developing-economies-will-go-big-wind-solar-hydro-power/

In 2016, Enel built a record-breaking 2,018 MW of new capacity, completing new plants in Brazil, Chile, Mexico, South Africa and the United States. https://www.enelgreenpower.com/en/media/press/d201702-enel-green-power-closes-2016-with-record-renewable-energy-capacity-of-2018-mw-built.html

Enel Green Power North America Reaches 1 GW Wind Capacity In Oklahoma Alone
https://cleantechnica.com/2016/09/23/enel-green-power-north-america-reaches-1-gw-wind-capacity-oklahoma-alone/",Wind turbine,,,x,x,,,,,x,x,
USAGE,03_n,to discover the energy behind Formula E,the Formula E driver about to start the race,il pilota di Formula E pronto a iniziare la gara,el corredor de Fórmula E a punto de iniciar la carrera,44,FE car,Auto di Formula E,Automóvil FE,The race for innovation,L'innovazione in gara,La carrera por la innovación,23,"Enel’s smart energy and advanced monitoring solutions take Formula E races to the next level, putting e-mobility, smart cities and the green energy revolution on the fast track.","Le soluzioni di Enel per il monitoraggio e la gestione smart dell'energia portano la Formula E nel futuro a ogni tappa, accelerando lo sviluppo dell'e-mobilità e la rivoluzione energetica delle smart city.","La soluciones de Enel de energía inteligente y de monitoreo avanzado llevan a la carreras de la Fórmula E al próximo nivel, ubicando a la e-mobilidad, las ciudades inteligentes y a la revolución de la energía verde en las carreras.",177,tgt_03,"
https://www.enel.com/en/stories/a201608-racing-to-the-future-at-200-km-h.html

“This spectacular series will offer both entertainment and a new opportunity to share FIA’s values for clean energy, mobility and sustainability. The FIA is definitely looking to the future!”
– Jean Todt, Federation Internationale de l’Automobile (FIA) president

Formula E as a laboratory that races towards the future of sustainable mobility.

inclusive
https://www.enel.com/es/historias/a201608-ayudar-a-hacer-florecer-el-desierto.html


http://www.fiaformulae.com/en/news/2017/march/formula-e-and-fia-launch-smart-cities-initiative/
“Our global partnership with the FIA Formula E Championship supports to raise awareness towards innovative technologies for more sustainable means of transport. Being one of the founding partners, the FIA Smart Cities Initiative is a logical step as this will enable us to contribute to the discussion of the future of mobility. Our Next Generation philosophy revolves around an exploration of the global megatrends set to affect our lives in years to come and it seeks out sustainable growth opportunities based on those megatrends, one of which is definitely energy transition and its interlinked topic mobility,” said Marco Parroni, Head Global Sponsoring Bank Julius Baer.

We are pleased to be part of the FIA Smart Cities initiative, which is a unique opportunity to create an intersectoral platform for best practice sharing on energy, innovation, connectivity and Smart Urban Services,” said Robert Denda",Umbrella girl,x,x,x,x,x,x,x,x,x,x,x
USAGE,04_n,to learn how technology saves energy,the mechanic who is checking the car,il meccanico che controlla il motore,el mecánico que está chequeando el vehículo,36,Paddock,Paddock,Pits,Regenerative braking,La frenata rigenerativa,Frenado regenerativo,20,"Unlike traditional cars, every time a Formula E car slows down or brakes, it recovers power and is able to recharge its battery.","A differenza delle auto tradizioniali, le auto di Formula E recuperano energia e si ricaricano ogni volta che il pilota rallenta o frena.","A diferencia de los automóviles tradicionales, cada vez que un vehículo de la Fórmula E baja la velocidad o frena, recupera energía y es capaz de recargar su batería.",128,tgt_04,"""Enel is designing a fully digitised energy mini-grid for Formula E, using the company’s smart metering technology to monitor power usage and give fans the chance to interact with an advanced energy system in real time. In the current season, Enel will gradually deploy its smart meters and energy management system, harvesting data on energy usage for each team and across the event at every race.”",Mechanical (change tyres),x,x,x,x,x,x,x,x,x,x,x
USAGE,05_n,to discover the green energy of e-mobility,the girl ready to drive her e-car,la ragazza pronta a guidare la sua e-car,la niña lista para conducir su e-vehículo,33,E car,Audo elettrica,Automóvil FE,Green mobility,La mobilità sostenibile,Vehículo a Red,14,"Electric vehicles are ready to revolutionize the way we move around our cities: running quietly and with no CO2 emissions, they open whole new energy opportunities.","I veicoli elettrici stanno per rivoluzionare il nostro modo di muoverci in città: silenziosi e a zero emissioni, creano nuove opportunità per l'energia.","La tecnología Vehículo a Red (V2G) integra a los automóviles a la red eléctrica, permitiéndole al conductor inyectar la energía limpia de regreso a la red de la ciudad.",164,tgt_05,"ENEL AND NISSAN PRESENT FIRST ALL-INCLUSIVE ELECTRIC MOBILITY SOLUTION
https://www.enel.com/en/media/press/d201611-enel-and-nissan-present-first-all-inclusive-electric-mobility-solution-.html

The Nissan LEAF, with 30 kWh battery giving it a range of up to 250 km

**Average consumption of 15kWh/100 km and a price of 0.25 euros/kWh",e car (charging) or driving,x,x,x,x,x,x,x,x,x,x,x
USAGE,06_n,to discover the brightest innovation,the cat sitting in his pink cat bed,il gatto seduto sul lettino rosa,el gato sentado en su cama de gato de color rosa,35,Lighting,Fulmine,Iluminación,Energy-saving lampposts,I lampioni più efficienti,Alumbrado de ahorro de energía,23,"LED lighting is one of the most interesting areas of energy requalification and can save your city up to 75% on the electricity bill, while keeping streets well-lit and safe.","L'illuminazione LED è una delle applicazioni più interessanti per il risparmio energetico nelle città: strade ben illuminate e sicure, con riduzioni in bolletta fino al 75%.","La iluminación LED es una de las áreas más interesantes de la recalificación energética y le puede ahorrar a su ciudad hasta un 75% de su cuenta eléctrica, al mimso tiempo que mantiene a las calles bien iluminadas y seguras.",174,tgt_06,"""Enel will also provide its LED lighting technology for areas around each circuit, as well as setting up its own charging columns for fans arriving at each ePrix in their own electric vehicles.”

https://www.enelenergia.it/mercato/libero/en-UK/imprese/azienda-efficiente/smart-energy-solution/illuminazione-led",man/animal on street below street light,x,x,x,x,x,x,x,x,x,x,x
USAGE,07_n,to get the energy you need all day!,the boy playing e-sports with a virtual reality visor,"il ragazzo con il visore, immerso nella realtà virtuale",el niño jugando eSports con un visor de realidad virtual,53,Appliances,Elettrodomestici,Artefactos eléctricos,Growing demand solutions,Più energia per tutti,Soluciones a la demanda en aumento,24,"Today, we depend on electricity for computers, trains, appliances, entertainment and more. To make growing demand sustainable, Enel fosters green energy and consumers’ active role.","Oggi l'elettricità alimenta il nostro lavoro e il nostro divertimento. Perché la domanda crescente di energia sia sostenibile, Enel promuove l'energia verde e il ruolo attivo dei consumatori.","Hoy en día, dependemos de la electricidad para los computadores, trenes, artefactos, la entretención y más. Para hacer que la demanda en aumento sea sustentable, Enel fomenta la energía verde y el papel activo de los consumidores.",180,tgt_07,Qui metterei una frase sull’aumento della domanda dell’energia da parte dei singoli individui,guy playing eSports on Console,x,x,x,x,x,x,x,x,x,x,x
MONITORING,08_n,to capture the power of knowledge,the guy using the smart meter,il tizio che usa lo smart meter,el tipo utilizando el medidor inteligente,29,House meter,Meter domestico,Medidor del hogar,"Smart meters, smart home",Una casa più smart,"Medidores inteligentes, hogar inteligente",24,"Next-generation smart meters allow you to know exactly how much energy you are using, to optimize consumption and transform your house into a smart home.","Con i meter di prossima generazione sappiamo esattamente quanta energia usiamo, ottimizziamo i consumi e possiamo rendere smart la nostra casa.","Los medidores inteligentes de la próxima generación le permitirán saber cuánta energía está utilizando exactamente, para optimizar el consumo y transformar su hogar en un hogar inteligente.",153,tgt_08,"Next-generation smart meters let homeowners know exactly how much energy they’re using so they can optimize their energy consumption. Improving digital technology helps them transform their houses into smart homes, where thermostats learn when you are at home, fridges cool when energy is cheapest, and lights switch off if no one is in the room.

https://www.enel.com/en/media/press/d201606-enel-presents-enel-open-meter-the-new-electronic-meter.html

The innovative features of the new smart meter include faster changes of supply, the elimination of fixed time bands and the availability of data on electricity use for greater savings. The measurement of customer data every 15 minutes, for example, provides a much more timely picture of daily power use and the consumption behaviour of customers, who are increasingly aware of how they use electricity and alert to opportunities for achieving greater energy efficiency.",Happy person checking usage,x,x,x,x,x,x,x,x,x,x,x
MONITORING,09_n,to get to know intelligent distribution,the bird in the hot air balloon,l'uccellino in mongolfiera,el pájaro en el globo de aire caliente,31,Distribution Grid,Rete di distribuzione,Red de Distribución,The smart grid,La smart grid,La red inteligente,14,"Smart grids are as intelligent as the Internet: they analyze consumption data in real time, manage distribution, transport renewable energy and enable new services.","Le smart grid sono intelligenti, come Internet: analizzano in tempo reale i dati di consumo, regolano la distribuzione, trasportano l'energia rinnovabile e rendono possibili nuovi servizi.","Las redes inteligentes son tan intligentes como la Internet: ellas analizan la información del consumo en tiempo real, administran la distribución, transportan la energía renovable y habilitan nuevos servicios.",164,tgt_09,"https://www.enel.com/en/stories/a201608-smart-home-smart-city.html

We’re building smart grids that are as intelligent as the Internet, grids that analyze consumption data in real time, manage distribution, transport renewable energy without limits and enable entirely new services for people, businesses and cities.

Next-generation smart meters let homeowners know exactly how much energy they’re using so they can optimize their energy consumption. Improving digital technology helps them transform their houses into smart homes, where thermostats learn when you are at home, fridges cool when energy is cheapest, and lights switch off if no one is in the room.

Urban areas consume up to 80% of global electricity and are responsible for most of greenhouse emissions.

enabling new services for citizens, are the key urban infrastructure able to support the inception of future cities – digital, shared, sustainable.

A Smart Grid is an electricity network improved with ICT solutions able to integrate actions of all actors (producers, regulators, consumers) in order to enable an efficient and resilient electricity delivery.

A Smart City is built and developed upon platforms to enable new services and innovative functions, and it has to combine economic growth with environmental protection and social inclusion, digitalization with energy efficiency. The main challenge of a Smart City is a cost effective and sustainable urban flows management: energy, water, waste and transportation",Bird on electricity cables,x,x,x,x,x,x,x,x,x,x,x
